#,Name,Start,End,Length
M1,80,0:00.000,,
M2,92,0:40.500,,
M3,104,1:15.717,,
M4,116,1:46.871,,
M5,132,2:14.802,,
M6,152,2:39.347,,
R1,1-1,0:00.000,0:22.500,0:22.500
R2,1-2,0:22.500,0:40.500,0:18.000
R3,1-1,0:40.500,1:00.065,0:19.565
R4,1-2,1:00.065,1:15.717,0:15.652
R5,1-1,1:15.717,1:33.025,0:17.307
R6,1-2,1:33.025,1:46.871,0:13.846
R7,1-1,1:46.871,2:02.388,0:15.517
R8,1-2,2:02.388,2:14.802,0:12.413
R9,1-1,2:14.802,2:28.438,0:13.636
R10,1-2,2:28.438,2:39.347,0:10.909
R11,1-1,2:39.347,2:51.189,0:11.842
R12,1-2,2:51.189,3:00.663,0:09.473
